類別,產品名稱,製造商,產品規格,原料,Product ID,Company ID
大豆油,大豆沙拉油,中聯油脂股份有限公司,油罐車,黃豆,aa629296aacb44aeb785e80a8e0d5f92,89480404
葵花油,得意的一天葵花油,佳格,PET瓶[3L],100%純葵花油,4710040000000,22102473
葵花油,得意的一天葵花油,佳格,PET瓶[3.75L],100%純葵花油,4b19072577ad4234808d399fd617f975,22102473
葵花油,得意的一天葵花油,佳格,PET瓶[2L],100%純葵花油,4710040000000,22102473
葵花油,得意的一天葵花油,佳格,PET瓶[3.3L],100%純葵花油,2ac6d130a18f4574878879a1954af128,22102473
葵花油,得意的一天葵花油,佳格,PET瓶[2.6L],100%純葵花油,f04ada69909b49438f19416323e0a6b6,22102473
葵花油,得意的一天葵花油,佳格,PET瓶[3.5L],100%純葵花油,c6d6146e5e574678b750fcc4bd4d88ad,22102473
大豆油,台糖大豆沙拉油,台灣糖業股份有限公司,PET[2.6公升],黃豆,2d390a7b6b9d44c696fa108b1612aba8,3794905
大豆油,台糖大豆沙拉油,台灣糖業股份有限公司,鐵皮[18kg],黃豆,abca1c4d058c4c10bd5a69de719e0303,3794905
大豆油,台糖大豆沙拉油,台灣糖業股份有限公司,PET[3L],黃豆,7ad6880292e44e2d9a7a9fc744e63b23,3794905
大豆油,台糖大豆沙拉油,台灣糖業股份有限公司,鐵皮[18L],黃豆,4ce2cee757d048e0ba0b4b1108954caa,3794905
大豆油,台糖大豆沙拉油,台灣糖業股份有限公司,PET[2L],黃豆,5a57ee75d4c94442ad9d40f895b86a03,3794905
大豆油,台糖烤酥油,台灣糖業股份有限公司,鐵皮[18公升],黃豆,d4daee5909d64d9a96a74db4ba669c7b,3794905
酥油,台糖烤酥油,台灣糖業股份有限公司,PP[2L],黃豆,941ae1d3f81b492aa6aaa792b72b8fd8,3794905
大豆油,台糖紅花籽油,台灣糖業股份有限公司,PET[2L],黃豆,0f91aeb92a3542c99290472907b11070,3794905
大豆油,台糖芥花油,台灣糖業股份有限公司,PET[2公升],黃豆,7cda720dd67e46ba8e3146dcafa4224d,3794905
大豆油,台糖芥花油,台灣糖業股份有限公司,鐵桶[18公升],黃豆,95c8ef1a209746d6b9de652263246a7e,3794905
醬油,味全雙鳳牌陳年醬油,味全食品工業股份有限公司,HDPE桶[5公升],小麥;己二烯酸鉀;苯甲酸鈉;食鹽;黃豆;調味料;醋磺內酯鉀;糖,3b2146897fb9412cb2399b326a3c4f4f,11347802
醬油,味全雙鳳牌陳年醬油,味全食品工業股份有限公司,HDPE桶[10公升],小麥;己二烯酸鉀;苯甲酸鈉;食鹽;黃豆;調味料;醋磺內酯鉀;糖,ede3920d0cb14086b4d443800ed99f44,11347802
醬油,日式和風醬油露--北海道昆布,味全食品工業股份有限公司,玻璃瓶[300ml],北海道昆布萃取液;香菇萃取液;純釀醬油;酒精;調味料;糖;鹽,f56a3f242cd34782be8eb50c64a99337,11347802
醬油,日式和風醬油露--靜岡鰹魚,味全食品工業股份有限公司,玻璃瓶[300ml],昆布萃取液;香菇萃取液;純釀醬油;酒精;精鹽;調味料;糖;靜岡鰹魚萃取液,bf662dc5e8974b75b77b6caf91849700,11347802
醬油,極品醬油露,味全食品工業股份有限公司,PET[0.75L],小麥;食鹽;酒精;黃豆;調味料;糖,4710060000000,11347802
醬油,淬釀醬油露,味全食品工業股份有限公司,玻璃瓶[500毫升],黃豆;小麥;食鹽;糖;酒精;調味料,45f7c77845e74f64b6658160f8266270,11347802
醬油,爭鮮精釀醬油,味全食品工業股份有限公司,PET[1600ml],小麥;食鹽;酒精;黃豆;調味料;糖,4711950000000,11347802
醬油,特級醬油,味全食品工業股份有限公司,HDPE桶[10公升],小麥;苯甲酸鈉;食鹽;黃豆;對?苯甲酸丁酯;調味料;糖,4710060000000,11347802
醬油,特級醬油,味全食品工業股份有限公司,PET[1000ml],小麥;苯甲酸鈉;食鹽;黃豆;對?苯甲酸丁酯;調味料;糖,4710060000000,11347802
醬油,特級醬油,味全食品工業股份有限公司,HDPE桶[5公升],小麥;苯甲酸鈉;食鹽;黃豆;對?苯甲酸丁酯;調味料;糖,4710060000000,11347802
醬油,特製醬油露,味全食品工業股份有限公司,PET[1000ml],小麥;苯甲酸;食鹽;黃豆;調味料;糖,4710040000000,11347802
醬油,甘醇油膏,味全食品工業股份有限公司,玻璃瓶[500毫升],小麥;食鹽;黃豆;對?苯甲酸丁酯;蔗糖素;調味料;澱粉;糖,4710060000000,11347802
醬油,甘醇醬油露,味全食品工業股份有限公司,PET[820毫升],小麥;食鹽;酒精;黃豆;調味料;糖,4710060000000,11347802
醬油,甲級醬油,味全食品工業股份有限公司,HDPE桶[5公升],小麥;己二烯酸鉀;苯甲酸鈉;食鹽;黃豆;調味料;糖,4710060000000,11347802
醬油,甲級醬油,味全食品工業股份有限公司,HDPE桶[10公升],小麥;己二烯酸鉀;苯甲酸鈉;食鹽;黃豆;調味料;糖,4710060000000,11347802
醬油,甲級醬油,味全食品工業股份有限公司,PP[10公升],小麥;苯甲酸鈉;食鹽;黃豆;調味料;醋磺內酯鉀;糖,4710060000000,11347802
醬油,薄鹽醬油露,味全食品工業股份有限公司,玻璃瓶[500毫升],黃豆;小麥;食鹽;糖;酒精;調味料,7850fefb38a1496a861f20d7b67a4c0b,11347802
醬油,醬油露,味全食品工業股份有限公司,PET[1600ml],小麥;食鹽;酒精;黃豆;調味料;糖,4710060000000,11347802
醬油,金牌醬油,味全食品工業股份有限公司,PET[1600ml],小麥;安息香酸;食鹽;黃豆;對?苯甲酸丁酯;調味料;醋磺內酯鉀;糖,4710060000000,11347802
醬油,陳年醬油,味全食品工業股份有限公司,PET[1600ml],小麥;安息香酸;食鹽;黃豆;對?苯甲酸丁酯;調味料;醋磺內酯鉀;糖,4710060000000,11347802
大豆油,大成大豆沙拉油,大統益,鐵罐裝[18Kg],大豆,4710150000000,20927014
大豆油,大成大豆沙拉油,大統益,鐵罐裝[18L],大豆,4710150000000,20927014
大豆油,大成大豆沙拉油,大統益,PE瓶[3L],大豆,4710150000000,20927014
調和油,大成油炸專用油,大統益,鐵罐[18L],大豆;棕櫚油,4710150000000,20927014
調和油,生力大豆沙拉油,大統益,鐵罐[18L],大豆,4714090000000,20927014
調和油,統一OMEGA不飽和健康調合油,大統益,PET[2公升],大豆;葵花原油;橄欖油,ded82b3dba7042539477e17d9064dee1,20927014
大豆油,統一大豆沙拉油,大統益,鐵罐[19.56L],大豆,4710090000000,20927014
葵花油,統一清爽家芥花油,大統益,PET[2公升],芥花原油,4710090000000,20927014
葵花油,統一清爽家葵花油,大統益,PET[3公升],葵花原油,0899ae42c65340a69b366a8c9db522da,20927014
葵花油,統一清爽家葵花油,大統益,PET[2公升],葵花原油,ebc987e73fb04388ac1c3aaf69476120,20927014
大豆油,美食家大豆沙拉油,大統益,鐵罐裝[18L],大豆,4714090000000,20927014
大豆油,美食家大豆沙拉油,大統益,PET[2.6L],大豆,4714090000000,20927014
大豆油,美食家大豆沙拉油,大統益,PET[3L],大豆,4714090000000,20927014
大豆油,美食家大豆沙拉油,大統益,鐵罐裝[18Kg],大豆,4714090000000,20927014
